Type,Date,Losses
Troops,2022-02-26,3500
Planes,2022-02-26,14
Helicopters,2022-02-26,8
Tanks,2022-02-26,102
Artillery Pieces,2022-02-26,15
Armored Personal Carriers,2022-02-26,546
Mobile SRBM Systems,2022-02-26,0
MLRS,2022-02-26,1
Boats,2022-02-26,0
Vehicles,2022-02-26,0
Fuel Tanks,2022-02-26,0
UAV,2022-02-26,0
Anti-Aircraft,2022-02-26,0
Special Equipment,2022-02-26,0
Troops,2022-02-27,4300
Planes,2022-02-27,27
Helicopters,2022-02-27,26
Tanks,2022-02-27,146
Artillery Pieces,2022-02-27,49
Armored Personal Carriers,2022-02-27,706
Mobile SRBM Systems,2022-02-27,0
MLRS,2022-02-27,5
Boats,2022-02-27,2
Vehicles,2022-02-27,30
Fuel Tanks,2022-02-27,60
UAV,2022-02-27,2
Anti-Aircraft,2022-02-27,0
Special Equipment,2022-02-27,0
Troops,2022-02-28,5300
Planes,2022-02-28,29
Helicopters,2022-02-28,29
Tanks,2022-02-28,191
Artillery Pieces,2022-02-28,74
Armored Personal Carriers,2022-02-28,816
Mobile SRBM Systems,2022-02-28,0
MLRS,2022-02-28,22
Boats,2022-02-28,2
Vehicles,2022-02-28,291
Fuel Tanks,2022-02-28,60
UAV,2022-02-28,3
Anti-Aircraft,2022-02-28,5
Special Equipment,2022-02-28,0
Troops,2022-03-01,5710
Planes,2022-03-01,29
Helicopters,2022-03-01,29
Tanks,2022-03-01,198
Artillery Pieces,2022-03-01,77
Armored Personal Carriers,2022-03-01,846
Mobile SRBM Systems,2022-03-01,0
MLRS,2022-03-01,24
Boats,2022-03-01,2
Vehicles,2022-03-01,305
Fuel Tanks,2022-03-01,60
UAV,2022-03-01,3
Anti-Aircraft,2022-03-01,7
Special Equipment,2022-03-01,0
Troops,2022-03-02,5840
Planes,2022-03-02,30
Helicopters,2022-03-02,31
Tanks,2022-03-02,211
Artillery Pieces,2022-03-02,85
Armored Personal Carriers,2022-03-02,862
Mobile SRBM Systems,2022-03-02,0
MLRS,2022-03-02,40
Boats,2022-03-02,2
Vehicles,2022-03-02,355
Fuel Tanks,2022-03-02,60
UAV,2022-03-02,3
Anti-Aircraft,2022-03-02,9
Special Equipment,2022-03-02,0
Troops,2022-03-03,9000
Planes,2022-03-03,30
Helicopters,2022-03-03,31
Tanks,2022-03-03,217
Artillery Pieces,2022-03-03,90
Armored Personal Carriers,2022-03-03,900
Mobile SRBM Systems,2022-03-03,0
MLRS,2022-03-03,42
Boats,2022-03-03,2
Vehicles,2022-03-03,374
Fuel Tanks,2022-03-03,60
UAV,2022-03-03,3
Anti-Aircraft,2022-03-03,11
Special Equipment,2022-03-03,0
Troops,2022-03-04,9166
Planes,2022-03-04,33
Helicopters,2022-03-04,37
Tanks,2022-03-04,251
Artillery Pieces,2022-03-04,105
Armored Personal Carriers,2022-03-04,939
Mobile SRBM Systems,2022-03-04,0
MLRS,2022-03-04,50
Boats,2022-03-04,2
Vehicles,2022-03-04,404
Fuel Tanks,2022-03-04,60
UAV,2022-03-04,3
Anti-Aircraft,2022-03-04,18
Special Equipment,2022-03-04,0
Troops,2022-03-05,10000
Planes,2022-03-05,39
Helicopters,2022-03-05,40
Tanks,2022-03-05,269
Artillery Pieces,2022-03-05,105
Armored Personal Carriers,2022-03-05,945
Mobile SRBM Systems,2022-03-05,0
MLRS,2022-03-05,50
Boats,2022-03-05,2
Vehicles,2022-03-05,409
Fuel Tanks,2022-03-05,60
UAV,2022-03-05,3
Anti-Aircraft,2022-03-05,18
Special Equipment,2022-03-05,0
Troops,2022-03-06,11000
Planes,2022-03-06,44
Helicopters,2022-03-06,48
Tanks,2022-03-06,285
Artillery Pieces,2022-03-06,109
Armored Personal Carriers,2022-03-06,985
Mobile SRBM Systems,2022-03-06,0
MLRS,2022-03-06,50
Boats,2022-03-06,2
Vehicles,2022-03-06,447
Fuel Tanks,2022-03-06,60
UAV,2022-03-06,4
Anti-Aircraft,2022-03-06,21
Special Equipment,2022-03-06,0
Troops,2022-03-07,11000
Planes,2022-03-07,46
Helicopters,2022-03-07,68
Tanks,2022-03-07,290
Artillery Pieces,2022-03-07,117
Armored Personal Carriers,2022-03-07,999
Mobile SRBM Systems,2022-03-07,0
MLRS,2022-03-07,50
Boats,2022-03-07,2
Vehicles,2022-03-07,454
Fuel Tanks,2022-03-07,60
UAV,2022-03-07,7
Anti-Aircraft,2022-03-07,23
Special Equipment,2022-03-07,0
Troops,2022-03-08,12000
Planes,2022-03-08,48
Helicopters,2022-03-08,80
Tanks,2022-03-08,303
Artillery Pieces,2022-03-08,120
Armored Personal Carriers,2022-03-08,1036
Mobile SRBM Systems,2022-03-08,0
MLRS,2022-03-08,56
Boats,2022-03-08,2
Vehicles,2022-03-08,474
Fuel Tanks,2022-03-08,60
UAV,2022-03-08,7
Anti-Aircraft,2022-03-08,27
Special Equipment,2022-03-08,0
Troops,2022-03-09,12000
Planes,2022-03-09,49
Helicopters,2022-03-09,81
Tanks,2022-03-09,317
Artillery Pieces,2022-03-09,120
Armored Personal Carriers,2022-03-09,1070
Mobile SRBM Systems,2022-03-09,0
MLRS,2022-03-09,56
Boats,2022-03-09,2
Vehicles,2022-03-09,482
Fuel Tanks,2022-03-09,60
UAV,2022-03-09,7
Anti-Aircraft,2022-03-09,28
Special Equipment,2022-03-09,0
Troops,2022-03-10,12000
Planes,2022-03-10,49
Helicopters,2022-03-10,81
Tanks,2022-03-10,335
Artillery Pieces,2022-03-10,123
Armored Personal Carriers,2022-03-10,1105
Mobile SRBM Systems,2022-03-10,0
MLRS,2022-03-10,56
Boats,2022-03-10,2
Vehicles,2022-03-10,526
Fuel Tanks,2022-03-10,60
UAV,2022-03-10,7
Anti-Aircraft,2022-03-10,29
Special Equipment,2022-03-10,0
Troops,2022-03-11,12000
Planes,2022-03-11,57
Helicopters,2022-03-11,83
Tanks,2022-03-11,353
Artillery Pieces,2022-03-11,125
Armored Personal Carriers,2022-03-11,1165
Mobile SRBM Systems,2022-03-11,0
MLRS,2022-03-11,58
Boats,2022-03-11,2
Vehicles,2022-03-11,558
Fuel Tanks,2022-03-11,60
UAV,2022-03-11,7
Anti-Aircraft,2022-03-11,31
Special Equipment,2022-03-11,0
Troops,2022-03-12,12000
Planes,2022-03-12,58
Helicopters,2022-03-12,83
Tanks,2022-03-12,362
Artillery Pieces,2022-03-12,135
Armored Personal Carriers,2022-03-12,1205
Mobile SRBM Systems,2022-03-12,0
MLRS,2022-03-12,62
Boats,2022-03-12,2
Vehicles,2022-03-12,585
Fuel Tanks,2022-03-12,60
UAV,2022-03-12,7
Anti-Aircraft,2022-03-12,33
Special Equipment,2022-03-12,0
Troops,2022-03-13,12000
Planes,2022-03-13,74
Helicopters,2022-03-13,86
Tanks,2022-03-13,374
Artillery Pieces,2022-03-13,140
Armored Personal Carriers,2022-03-13,1226
Mobile SRBM Systems,2022-03-13,0
MLRS,2022-03-13,62
Boats,2022-03-13,2
Vehicles,2022-03-13,600
Fuel Tanks,2022-03-13,60
UAV,2022-03-13,7
Anti-Aircraft,2022-03-13,34
Special Equipment,2022-03-13,0
Troops,2022-03-14,12000
Planes,2022-03-14,77
Helicopters,2022-03-14,90
Tanks,2022-03-14,389
Artillery Pieces,2022-03-14,150
Armored Personal Carriers,2022-03-14,1249
Mobile SRBM Systems,2022-03-14,0
MLRS,2022-03-14,64
Boats,2022-03-14,2
Vehicles,2022-03-14,617
Fuel Tanks,2022-03-14,60
UAV,2022-03-14,8
Anti-Aircraft,2022-03-14,34
Special Equipment,2022-03-14,0
Troops,2022-03-15,13500
Planes,2022-03-15,81
Helicopters,2022-03-15,95
Tanks,2022-03-15,404
Artillery Pieces,2022-03-15,150
Armored Personal Carriers,2022-03-15,1279
Mobile SRBM Systems,2022-03-15,0
MLRS,2022-03-15,64
Boats,2022-03-15,2
Vehicles,2022-03-15,640
Fuel Tanks,2022-03-15,60
UAV,2022-03-15,9
Anti-Aircraft,2022-03-15,36
Special Equipment,2022-03-15,0
Troops,2022-03-16,13800
Planes,2022-03-16,84
Helicopters,2022-03-16,108
Tanks,2022-03-16,430
Artillery Pieces,2022-03-16,190
Armored Personal Carriers,2022-03-16,1375
Mobile SRBM Systems,2022-03-16,0
MLRS,2022-03-16,70
Boats,2022-03-16,2
Vehicles,2022-03-16,819
Fuel Tanks,2022-03-16,60
UAV,2022-03-16,11
Anti-Aircraft,2022-03-16,43
Special Equipment,2022-03-16,0
Troops,2022-03-17,14000
Planes,2022-03-17,86
Helicopters,2022-03-17,108
Tanks,2022-03-17,444
Artillery Pieces,2022-03-17,201
Armored Personal Carriers,2022-03-17,1435
Mobile SRBM Systems,2022-03-17,0
MLRS,2022-03-17,72
Boats,2022-03-17,2
Vehicles,2022-03-17,864
Fuel Tanks,2022-03-17,60
UAV,2022-03-17,11
Anti-Aircraft,2022-03-17,43
Special Equipment,2022-03-17,0
Troops,2022-03-18,14200
Planes,2022-03-18,93
Helicopters,2022-03-18,112
Tanks,2022-03-18,450
Artillery Pieces,2022-03-18,205
Armored Personal Carriers,2022-03-18,1448
Mobile SRBM Systems,2022-03-18,0
MLRS,2022-03-18,72
Boats,2022-03-18,3
Vehicles,2022-03-18,879
Fuel Tanks,2022-03-18,60
UAV,2022-03-18,12
Anti-Aircraft,2022-03-18,43
Special Equipment,2022-03-18,0
Troops,2022-03-19,14400
Planes,2022-03-19,95
Helicopters,2022-03-19,115
Tanks,2022-03-19,466
Artillery Pieces,2022-03-19,213
Armored Personal Carriers,2022-03-19,1470
Mobile SRBM Systems,2022-03-19,0
MLRS,2022-03-19,72
Boats,2022-03-19,3
Vehicles,2022-03-19,914
Fuel Tanks,2022-03-19,60
UAV,2022-03-19,17
Anti-Aircraft,2022-03-19,44
Special Equipment,2022-03-19,11
